Company,Date,Login,Bake,Active
housegene,2016-11-23,0,0,0
housegene,2016-11-24,0,0,0
housegene,2016-11-25,0,0,0
housegene,2016-11-26,0,0,0
housegene,2016-11-27,0,0,0
housegene,2016-11-28,0,0,0
housegene,2016-11-29,0,0,0
housegene,2016-11-30,0,0,0
housegene,2016-12-01,0,0,0
housegene,2016-12-02,0,0,0
housegene,2016-12-03,0,0,0
housegene,2016-12-04,0,0,0
ihomefnt,2016-11-12,0,0,0
ihomefnt,2016-11-13,0,0,0
ihomefnt,2016-11-14,1,1,1
ihomefnt,2016-11-15,0,0,0
ihomefnt,2016-11-16,0,0,0
ihomefnt,2016-11-17,0,0,0
ihomefnt,2016-11-18,0,0,0
ihomefnt,2016-11-19,0,0,0
ihomefnt,2016-11-20,0,0,0
ihomefnt,2016-11-21,0,0,0
ihomefnt,2016-11-22,0,0,0
ihomefnt,2016-11-23,1,1,1
ihomefnt,2016-11-24,1,1,1
ihomefnt,2016-11-25,0,0,0
ihomefnt,2016-11-26,0,0,0
ihomefnt,2016-11-27,0,0,0
ihomefnt,2016-11-28,1,1,1
ihomefnt,2016-11-29,0,0,0
ihomefnt,2016-11-30,0,0,0
ihomefnt,2016-12-01,0,0,0
ihomefnt,2016-12-02,0,0,0
ihomefnt,2016-12-03,0,0,0
ihomefnt,2016-12-04,0,0,0
hanshilin,2016-11-12,0,0,0
hanshilin,2016-11-13,0,0,0
hanshilin,2016-11-14,0,0,0
hanshilin,2016-11-15,0,0,0
hanshilin,2016-11-16,0,0,0
hanshilin,2016-11-17,0,0,0
hanshilin,2016-11-18,1,1,1
hanshilin,2016-11-19,0,0,0
hanshilin,2016-11-20,0,0,0
hanshilin,2016-11-21,0,0,0
hanshilin,2016-11-22,0,0,0
hanshilin,2016-11-23,0,0,0
hanshilin,2016-11-24,0,0,0
hanshilin,2016-11-25,0,0,0
hanshilin,2016-11-26,0,0,0
hanshilin,2016-11-27,0,0,0
hanshilin,2016-11-28,0,0,0
hanshilin,2016-11-29,0,0,0
hanshilin,2016-11-30,0,0,0
hanshilin,2016-12-01,0,0,0
hanshilin,2016-12-02,0,0,0
hanshilin,2016-12-03,0,0,0
hanshilin,2016-12-04,0,0,0
Surface ID Studio pte ltd,2016-11-12,0,0,0
Surface ID Studio pte ltd,2016-11-13,0,0,0
Surface ID Studio pte ltd,2016-11-14,0,0,0
Surface ID Studio pte ltd,2016-11-15,0,0,0
Surface ID Studio pte ltd,2016-11-16,0,0,0
Surface ID Studio pte ltd,2016-11-17,0,0,0
Surface ID Studio pte ltd,2016-11-18,0,0,0
Surface ID Studio pte ltd,2016-11-19,0,0,0
Surface ID Studio pte ltd,2016-11-20,0,0,0
Surface ID Studio pte ltd,2016-11-21,0,0,0
Surface ID Studio pte ltd,2016-11-22,0,0,0
Surface ID Studio pte ltd,2016-11-23,0,0,0
Surface ID Studio pte ltd,2016-11-24,0,0,0
Surface ID Studio pte ltd,2016-11-25,0,0,0
Surface ID Studio pte ltd,2016-11-26,0,0,0
Surface ID Studio pte ltd,2016-11-27,0,0,0
Surface ID Studio pte ltd,2016-11-28,0,0,0
Surface ID Studio pte ltd,2016-11-29,0,0,0
Surface ID Studio pte ltd,2016-11-30,0,0,0
Surface ID Studio pte ltd,2016-12-01,0,0,0
Surface ID Studio pte ltd,2016-12-02,0,0,0
Surface ID Studio pte ltd,2016-12-03,0,0,0
Surface ID Studio pte ltd,2016-12-04,0,0,0
伍月,2016-11-12,0,0,0
伍月,2016-11-13,0,0,0
伍月,2016-11-14,0,0,0
伍月,2016-11-15,0,0,0
伍月,2016-11-16,0,0,0
伍月,2016-11-17,0,0,0
伍月,2016-11-18,0,0,0
伍月,2016-11-19,0,0,0
伍月,2016-11-20,0,0,0
伍月,2016-11-21,0,0,0
伍月,2016-11-22,0,0,0
伍月,2016-11-23,0,0,0
伍月,2016-11-24,0,0,0
伍月,2016-11-25,0,0,0
伍月,2016-11-26,0,0,0
伍月,2016-11-27,0,0,0
伍月,2016-11-28,0,0,0
伍月,2016-11-29,0,0,0
伍月,2016-11-30,0,0,0
伍月,2016-12-01,0,0,0
伍月,2016-12-02,0,0,0
伍月,2016-12-03,0,0,0
伍月,2016-12-04,0,0,0
Y-axis,2016-11-12,0,0,0
Y-axis,2016-11-13,0,0,0
Y-axis,2016-11-14,0,0,0
Y-axis,2016-11-15,0,0,0
Y-axis,2016-11-16,0,0,0
Y-axis,2016-11-17,0,0,0
Y-axis,2016-11-18,0,0,0
Y-axis,2016-11-19,0,0,0
Y-axis,2016-11-20,0,0,0
Y-axis,2016-11-21,0,0,0
Y-axis,2016-11-22,0,0,0
Y-axis,2016-11-23,0,0,0
Y-axis,2016-11-24,0,0,0
Y-axis,2016-11-25,0,0,0
Y-axis,2016-11-26,0,0,0
Y-axis,2016-11-27,0,0,0
Y-axis,2016-11-28,0,0,0
Y-axis,2016-11-29,0,0,0
Y-axis,2016-11-30,0,0,0
Y-axis,2016-12-01,0,0,0
Y-axis,2016-12-02,0,0,0
Y-axis,2016-12-03,0,0,0
Y-axis,2016-12-04,0,0,0
Renocube,2016-11-12,0,0,0
Renocube,2016-11-13,0,0,0
Renocube,2016-11-14,0,0,0
Renocube,2016-11-15,0,0,0
Renocube,2016-11-16,0,0,0
Renocube,2016-11-17,0,0,0
Renocube,2016-11-18,0,0,0
Renocube,2016-11-19,0,0,0
Renocube,2016-11-20,0,0,0
Renocube,2016-11-21,0,0,0
Renocube,2016-11-22,0,0,0
Renocube,2016-11-23,0,0,0
Renocube,2016-11-24,0,0,0
Renocube,2016-11-25,0,0,0
Renocube,2016-11-26,0,0,0
Renocube,2016-11-27,0,0,0
Renocube,2016-11-28,0,0,0
Renocube,2016-11-29,0,0,0
Renocube,2016-11-30,0,0,0
Renocube,2016-12-01,0,0,0
Renocube,2016-12-02,0,0,0
Renocube,2016-12-03,0,0,0
Renocube,2016-12-04,0,0,0
FSI,2016-11-12,0,0,0
FSI,2016-11-13,0,0,0
FSI,2016-11-14,0,0,0
FSI,2016-11-15,0,0,0
FSI,2016-11-16,0,0,0
FSI,2016-11-17,0,0,0
FSI,2016-11-18,0,0,0
FSI,2016-11-19,0,0,0
FSI,2016-11-20,0,0,0
FSI,2016-11-21,0,0,0
FSI,2016-11-22,0,0,0
FSI,2016-11-23,0,0,0
FSI,2016-11-24,0,0,0
FSI,2016-11-25,1,1,1
FSI,2016-11-26,0,0,0
FSI,2016-11-27,0,0,0
FSI,2016-11-28,0,0,0
FSI,2016-11-29,0,0,0
FSI,2016-11-30,0,0,0
FSI,2016-12-01,0,0,0
FSI,2016-12-02,1,1,1
FSI,2016-12-03,0,0,0
FSI,2016-12-04,0,0,0
Metamorph Design,2016-11-12,0,0,0
Metamorph Design,2016-11-13,0,0,0
Metamorph Design,2016-11-14,0,0,0
Metamorph Design,2016-11-15,0,0,0
Metamorph Design,2016-11-16,0,0,0
Metamorph Design,2016-11-17,0,0,0
Metamorph Design,2016-11-18,0,0,0
Metamorph Design,2016-11-19,0,0,0
Metamorph Design,2016-11-20,0,0,0
Metamorph Design,2016-11-21,0,0,0
Metamorph Design,2016-11-22,0,0,0
Metamorph Design,2016-11-23,0,0,0
Metamorph Design,2016-11-24,0,0,0
Metamorph Design,2016-11-25,0,0,0
Metamorph Design,2016-11-26,0,0,0
Metamorph Design,2016-11-27,0,0,0
Metamorph Design,2016-11-28,0,0,0
Metamorph Design,2016-11-29,0,0,0
Metamorph Design,2016-11-30,0,0,0
Metamorph Design,2016-12-01,0,0,0
Metamorph Design,2016-12-02,0,0,0
Metamorph Design,2016-12-03,0,0,0
Metamorph Design,2016-12-04,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-12,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-13,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-14,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-15,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-16,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-17,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-18,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-19,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-20,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-21,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-22,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-23,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-24,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-25,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-26,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-27,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-28,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-29,0,0,0
上海有智有味视觉艺术设计有限公司,2016-11-30,0,0,0
上海有智有味视觉艺术设计有限公司,2016-12-01,0,0,0
上海有智有味视觉艺术设计有限公司,2016-12-02,0,0,0
上海有智有味视觉艺术设计有限公司,2016-12-03,0,0,0
上海有智有味视觉艺术设计有限公司,2016-12-04,0,0,0
孙建伦,2016-11-12,0,0,0
孙建伦,2016-11-13,0,0,0
孙建伦,2016-11-14,0,0,0
孙建伦,2016-11-15,0,0,0
孙建伦,2016-11-16,0,0,0
孙建伦,2016-11-17,0,0,0
孙建伦,2016-11-18,0,0,0
孙建伦,2016-11-19,0,0,0
孙建伦,2016-11-20,0,0,0
孙建伦,2016-11-21,0,0,0
孙建伦,2016-11-22,0,0,0
孙建伦,2016-11-23,0,0,0
孙建伦,2016-11-24,0,0,0
孙建伦,2016-11-25,0,0,0
孙建伦,2016-11-26,0,0,0
孙建伦,2016-11-27,0,0,0
孙建伦,2016-11-28,0,0,0
孙建伦,2016-11-29,0,0,0
孙建伦,2016-11-30,0,0,0
孙建伦,2016-12-01,1,1,1
孙建伦,2016-12-02,0,0,0
孙建伦,2016-12-03,0,0,0
孙建伦,2016-12-04,0,0,0
